,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.0,0.0,0.0,0.0,0.4642857142857143,0.3333333333333333,0.6079545454545454,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.7272727272727273,0.0,0.0
KNeighborsUnif,REC,0.0,0.0,0.0,0.0,0.0962962962962963,0.08888888888888889,0.9846625766871165,0.0,0.0,0.0,0.0970873786407767,0.0,0.0,0.14285714285714285,0.0,0.0
KNeighborsUnif,F1,0.0,0.0,0.0,0.0,0.15950920245398773,0.14035087719298245,0.7517564402810305,0.0,0.0,0.0,0.17094017094017094,0.0,0.0,0.23880597014925373,0.0,0.0
KNeighborsUnif,AUC,0.0,0.0,0.0,0.0,0.8346413874191652,0.8682351750657762,0.7584496395236965,0.0,0.0,0.0,0.8450336071695296,0.0,0.0,0.8103724053724053,0.0,0.5
KNeighborsDist,PRE,0.0,0.0,0.0,0.0,0.9824561403508771,0.972972972972973,0.8537549407114624,0.0,0.0,0.0,0.9767441860465116,0.0,0.0,0.9455782312925171,0.0,0.0
KNeighborsDist,REC,0.0,0.0,0.0,0.0,0.8296296296296296,0.8,0.9938650306748467,0.0,0.0,0.0,0.8155339805825242,0.0,0.0,0.8273809523809523,0.0,0.0
KNeighborsDist,F1,0.0,0.0,0.0,0.0,0.8995983935742972,0.8780487804878049,0.9184975194897236,0.0,0.0,0.0,0.8888888888888887,0.0,0.0,0.8825396825396825,0.0,0.0
KNeighborsDist,AUC,0.0,0.0,0.0,0.0,0.9375881834215167,0.9089253187613844,0.970946359626654,0.0,0.0,0.0,0.9369025392083645,0.0,0.0,0.9519444444444445,0.0,0.5
NeuralNetFastAI,PRE,0.0,0.0,0.0,0.0,0.6896551724137931,0.9166666666666666,0.6854054054054054,0.0,0.0,0.0,0.9210526315789473,0.0,0.0,0.6296296296296297,0.0,0.0
NeuralNetFastAI,REC,0.0,0.0,0.0,0.0,0.4444444444444444,0.24444444444444444,0.9723926380368099,0.0,0.0,0.0,0.33980582524271846,0.0,0.0,0.30357142857142855,0.0,0.0
NeuralNetFastAI,F1,0.0,0.0,0.0,0.0,0.5405405405405405,0.3859649122807018,0.8040583386176284,0.0,0.0,0.0,0.49645390070921985,0.0,0.0,0.4096385542168675,0.0,0.0
NeuralNetFastAI,AUC,0.0,0.0,0.0,0.0,0.8406746031746031,0.874822910342036,0.8348962303049992,0.0,0.0,0.0,0.8637976101568334,0.0,0.0,0.8314224664224664,0.0,0.5
