,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.0,0.0,0.0,0.0,0.4583333333333333,0.36363636363636365,0.6066985645933014,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.6444444444444445,0.0,0.0
KNeighborsUnif,REC,0.0,0.0,0.0,0.0,0.08148148148148149,0.08888888888888889,0.9723926380368099,0.0,0.0,0.0,0.10679611650485436,0.0,0.0,0.17261904761904762,0.0,0.0
KNeighborsUnif,F1,0.0,0.0,0.0,0.0,0.13836477987421386,0.14285714285714285,0.7472009428403064,0.0,0.0,0.0,0.18333333333333335,0.0,0.0,0.2723004694835681,0.0,0.0
KNeighborsUnif,AUC,0.0,0.0,0.0,0.0,0.8449919165196942,0.883464885650678,0.7480570514662701,0.0,0.0,0.0,0.8427324495892458,0.0,0.0,0.7832387057387058,0.0,0.49909338168631007
KNeighborsDist,PRE,0.0,0.0,0.0,0.0,0.956140350877193,0.972972972972973,0.8486842105263158,0.0,0.0,0.0,0.9540229885057471,0.0,0.0,0.9448275862068966,0.0,0.0
KNeighborsDist,REC,0.0,0.0,0.0,0.0,0.8074074074074075,0.8,0.9892638036809815,0.0,0.0,0.0,0.8058252427184466,0.0,0.0,0.8154761904761905,0.0,0.0
KNeighborsDist,F1,0.0,0.0,0.0,0.0,0.8755020080321286,0.8780487804878049,0.9135977337110481,0.0,0.0,0.0,0.8736842105263158,0.0,0.0,0.8753993610223642,0.0,0.0
KNeighborsDist,AUC,0.0,0.0,0.0,0.0,0.9509075543797766,0.9199453551912569,0.9675883697974585,0.0,0.0,0.0,0.9438386855862584,0.0,0.0,0.9392277167277167,0.0,0.5
NeuralNetFastAI,PRE,0.0,0.0,0.0,0.0,0.7692307692307693,0.8,0.6528066528066528,0.0,0.0,0.0,0.7647058823529411,0.0,0.0,0.6486486486486487,0.0,0.0
NeuralNetFastAI,REC,0.0,0.0,0.0,0.0,0.2962962962962963,0.26666666666666666,0.9631901840490797,0.0,0.0,0.0,0.2524271844660194,0.0,0.0,0.2857142857142857,0.0,0.0
NeuralNetFastAI,F1,0.0,0.0,0.0,0.0,0.4278074866310161,0.4,0.7781908302354399,0.0,0.0,0.0,0.3795620437956205,0.0,0.0,0.396694214876033,0.0,0.0
NeuralNetFastAI,AUC,0.0,0.0,0.0,0.0,0.8558788947677837,0.8238818053025704,0.8093630127572375,0.0,0.0,0.0,0.8595873786407767,0.0,0.0,0.7873687423687423,0.0,0.608295557570263
LightGBMXT,PRE,0.0,0.0,0.0,0.0,0.968,0.9111111111111111,0.918194640338505,0.0,0.0,0.0,0.9791666666666666,0.0,0.0,0.9404761904761905,0.0,0.0
LightGBMXT,REC,0.0,0.0,0.0,0.0,0.8962962962962963,0.9111111111111111,0.9984662576687117,0.0,0.0,0.0,0.912621359223301,0.0,0.0,0.9404761904761905,0.0,0.0
LightGBMXT,F1,0.0,0.0,0.0,0.0,0.9307692307692307,0.9111111111111111,0.9566495224099926,0.0,0.0,0.0,0.9447236180904524,0.0,0.0,0.9404761904761905,0.0,0.0
LightGBMXT,AUC,0.0,0.0,0.0,0.0,0.9964506172839507,0.9816838696620117,0.9954284482650906,0.0,0.0,0.0,0.9977595220313666,0.0,0.0,0.9972130647130647,0.0,0.9444922937443336
LightGBM,PRE,0.0,0.0,0.0,0.0,0.9758064516129032,0.9111111111111111,0.9193776520509194,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.9464285714285714,0.0,0.0
LightGBM,REC,0.0,0.0,0.0,0.0,0.8962962962962963,0.9111111111111111,0.9969325153374233,0.0,0.0,0.0,0.9320388349514563,0.0,0.0,0.9464285714285714,0.0,0.0
LightGBM,F1,0.0,0.0,0.0,0.0,0.9343629343629344,0.9111111111111111,0.9565857247976454,0.0,0.0,0.0,0.9504950495049505,0.0,0.0,0.9464285714285714,0.0,0.0
LightGBM,AUC,0.0,0.0,0.0,0.0,0.9965755437977661,0.9831815421979356,0.9944788399785089,0.0,0.0,0.0,0.9980302464525765,0.0,0.0,0.996031746031746,0.0,0.9350861287398005
RandomForestGini,PRE,0.0,0.0,0.0,0.0,1.0,1.0,0.8369704749679076,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
RandomForestGini,REC,0.0,0.0,0.0,0.0,0.8148148148148148,0.8,1.0,0.0,0.0,0.0,0.7961165048543689,0.0,0.0,0.8095238095238095,0.0,0.0
RandomForestGini,F1,0.0,0.0,0.0,0.0,0.8979591836734693,0.888888888888889,0.9112508735150244,0.0,0.0,0.0,0.8864864864864864,0.0,0.0,0.8947368421052632,0.0,0.0
RandomForestGini,AUC,0.0,0.0,0.0,0.0,0.9972957084068195,0.9826452135195305,0.9962874689190708,0.0,0.0,0.0,0.9964619118745333,0.0,0.0,0.9963003663003662,0.0,0.6737420670897553
RandomForestEntr,PRE,0.0,0.0,0.0,0.0,1.0,1.0,0.8337595907928389,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
RandomForestEntr,REC,0.0,0.0,0.0,0.0,0.8074074074074075,0.8,1.0,0.0,0.0,0.0,0.7961165048543689,0.0,0.0,0.7976190476190477,0.0,0.0
RandomForestEntr,F1,0.0,0.0,0.0,0.0,0.8934426229508198,0.888888888888889,0.9093444909344491,0.0,0.0,0.0,0.8864864864864864,0.0,0.0,0.8874172185430463,0.0,0.0
RandomForestEntr,AUC,0.0,0.0,0.0,0.0,0.9969539976484421,0.9824731835660797,0.9963983606762211,0.0,0.0,0.0,0.9946135175504107,0.0,0.0,0.9971611721611721,0.0,0.5981300997280145
CatBoost,PRE,0.0,0.0,0.0,0.0,0.9203539823008849,0.8888888888888888,0.8433420365535248,0.0,0.0,0.0,0.9759036144578314,0.0,0.0,0.9090909090909091,0.0,0.0
