,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.0,0.0,0.0,0.0,0.6428571428571429,0.42857142857142855,0.6173913043478261,0.0,0.0,0.0,0.6111111111111112,0.0,0.0,0.6981132075471698,0.0,0.0
KNeighborsUnif,REC,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.9800613496932515,0.0,0.0,0.0,0.10679611650485436,0.0,0.0,0.22023809523809523,0.0,0.0
KNeighborsUnif,F1,0.0,0.0,0.0,0.0,0.22085889570552147,0.11538461538461539,0.7575577949021932,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.334841628959276,0.0,0.0
KNeighborsUnif,AUC,0.0,0.0,0.0,0.0,0.8463661081716638,0.8803278688524591,0.7599396498944186,0.0,0.0,0.0,0.8505134428678118,0.0,0.0,0.8127380952380953,0.0,0.5836808703535811
KNeighborsDist,PRE,0.0,0.0,0.0,0.0,0.9473684210526315,0.972972972972973,0.8486842105263158,0.0,0.0,0.0,0.9540229885057471,0.0,0.0,0.9517241379310345,0.0,0.0
KNeighborsDist,REC,0.0,0.0,0.0,0.0,0.8,0.8,0.9892638036809815,0.0,0.0,0.0,0.8058252427184466,0.0,0.0,0.8214285714285714,0.0,0.0
KNeighborsDist,F1,0.0,0.0,0.0,0.0,0.8674698795180723,0.8780487804878049,0.9135977337110481,0.0,0.0,0.0,0.8736842105263158,0.0,0.0,0.8817891373801917,0.0,0.0
KNeighborsDist,AUC,0.0,0.0,0.0,0.0,0.9421516754850089,0.9299939283545842,0.968328689415616,0.0,0.0,0.0,0.9365384615384615,0.0,0.0,0.9645543345543345,0.0,0.5964641885766092
NeuralNetFastAI,PRE,0.0,0.0,0.0,0.0,0.6082474226804123,0.59375,0.7235294117647059,0.0,0.0,0.0,0.6440677966101694,0.0,0.0,0.7070707070707071,0.0,0.3333333333333333
NeuralNetFastAI,REC,0.0,0.0,0.0,0.0,0.43703703703703706,0.4222222222222222,0.9432515337423313,0.0,0.0,0.0,0.36893203883495146,0.0,0.0,0.4166666666666667,0.0,0.05
