,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.0,0.0,0.0,0.0,0.625,0.625,0.6272365805168986,0.0,0.0,0.0,0.6956521739130435,0.0,0.0,0.6190476190476191,0.0,0.125
KNeighborsUnif,REC,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.9677914110429447,0.0,0.0,0.0,0.1553398058252427,0.0,0.0,0.15476190476190477,0.0,0.125
KNeighborsUnif,F1,0.0,0.0,0.0,0.0,0.18867924528301885,0.18867924528301885,0.761158021712907,0.0,0.0,0.0,0.25396825396825395,0.0,0.0,0.24761904761904763,0.0,0.125
KNeighborsUnif,AUC,0.0,0.0,0.0,0.0,0.8458847736625515,0.8604938271604939,0.7716410730573638,0.0,0.0,0.0,0.8704630321135175,0.0,0.0,0.81753663003663,0.0,0.6832275611967362
KNeighborsDist,PRE,0.0,0.0,0.0,0.0,0.9322033898305084,1.0,0.8674698795180723,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.9727891156462585,0.0,0.42857142857142855
KNeighborsDist,REC,0.0,0.0,0.0,0.0,0.8148148148148148,0.8,0.9938650306748467,0.0,0.0,0.0,0.8155339805825242,0.0,0.0,0.8511904761904762,0.0,0.075
KNeighborsDist,F1,0.0,0.0,0.0,0.0,0.8695652173913043,0.888888888888889,0.9263759828448892,0.0,0.0,0.0,0.8795811518324607,0.0,0.0,0.9079365079365078,0.0,0.1276595744680851
KNeighborsDist,AUC,0.0,0.0,0.0,0.0,0.9412330981775426,0.8980874316939891,0.9777029475341421,0.0,0.0,0.0,0.9451736370425691,0.0,0.0,0.9591849816849818,0.0,0.7666024478694469
NeuralNetFastAI,PRE,0.0,0.0,0.0,0.0,0.6941176470588235,0.7058823529411765,0.7093023255813954,0.0,0.0,0.0,0.6140350877192983,0.0,0.0,0.7285714285714285,0.0,0.2222222222222222
NeuralNetFastAI,REC,0.0,0.0,0.0,0.0,0.43703703703703706,0.26666666666666666,0.9355828220858896,0.0,0.0,0.0,0.33980582524271846,0.0,0.0,0.30357142857142855,0.0,0.3
NeuralNetFastAI,F1,0.0,0.0,0.0,0.0,0.5363636363636364,0.3870967741935483,0.8068783068783069,0.0,0.0,0.0,0.43750000000000006,0.0,0.0,0.42857142857142855,0.0,0.25531914893617025
NeuralNetFastAI,AUC,0.0,0.0,0.0,0.0,0.8513962375073486,0.9080550495851042,0.8292735496607648,0.0,0.0,0.0,0.8539675130694547,0.0,0.0,0.829004884004884,0.0,0.7802810516772439
LightGBMXT,PRE,0.0,0.0,0.0,0.0,0.9761904761904762,1.0,0.9475218658892128,0.0,0.0,0.0,1.0,0.0,0.0,0.963855421686747,0.0,0.9615384615384616
LightGBMXT,REC,0.0,0.0,0.0,0.0,0.9111111111111111,0.8888888888888888,0.9969325153374233,0.0,0.0,0.0,0.9611650485436893,0.0,0.0,0.9523809523809523,0.0,0.625
LightGBMXT,F1,0.0,0.0,0.0,0.0,0.9425287356321839,0.9411764705882353,0.9715994020926756,0.0,0.0,0.0,0.9801980198019802,0.0,0.0,0.9580838323353292,0.0,0.7575757575757575
LightGBMXT,AUC,0.0,0.0,0.0,0.0,0.9973985890652557,0.997672535923902,0.9960516287031599,0.0,0.0,0.0,0.9900485436893204,0.0,0.0,0.9987179487179487,0.0,0.9877153218495013
LightGBM,PRE,0.0,0.0,0.0,0.0,0.9612403100775194,1.0,0.9614243323442137,0.0,0.0,0.0,0.99,0.0,0.0,0.9590643274853801,0.0,0.9333333333333333
LightGBM,REC,0.0,0.0,0.0,0.0,0.9185185185185185,0.8666666666666667,0.9938650306748467,0.0,0.0,0.0,0.9611650485436893,0.0,0.0,0.9761904761904762,0.0,0.7
LightGBM,F1,0.0,0.0,0.0,0.0,0.9393939393939394,0.9285714285714286,0.9773755656108598,0.0,0.0,0.0,0.9753694581280788,0.0,0.0,0.967551622418879,0.0,0.8
LightGBM,AUC,0.0,0.0,0.0,0.0,0.9959362139917696,0.9986035215543412,0.9948396286531805,0.0,0.0,0.0,0.9903566094100076,0.0,0.0,0.9989743589743589,0.0,0.9868313689936536
RandomForestGini,PRE,0.0,0.0,0.0,0.0,1.0,1.0,0.8612945838837517,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
RandomForestGini,REC,0.0,0.0,0.0,0.0,0.8444444444444444,0.8,1.0,0.0,0.0,0.0,0.7961165048543689,0.0,0.0,0.8214285714285714,0.0,0.4
